Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry,Undecided,Other,Pollster URL,Source URL
Rasmussen,2011-11-30,2011-11-30,2011-12-01 2000-01-01 13:19:00 UTC,1000,Likely Voters,Automated Phone,17,38,4,8,,3,4,10,15,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12191,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
YouGov/Economist,2011-11-26,2011-11-29,2011-11-30 2000-01-01 17:45:08 UTC,,Likely Voters - Republican,Internet,17,25,3,9,15,5,5,10,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12186,http://big.assets.huffingtonpost.com/20111129econToplines.pdf
Poll Position,2011-11-27,2011-11-27,2011-11-28 2000-01-01 12:09:02 UTC,499,Likely Voters - Republican,Automated Phone,23,32,,6,14,,5,11,11,http://elections.huffingtonpost.com/pollster/polls/poll-position-12175,""
YouGov/Economist,2011-11-19,2011-11-22,2011-11-28 2000-01-01 12:59:56 UTC,,Likely Voters - Republican,Internet,20,31,3,8,15,4,5,8,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12176,http://big.assets.huffingtonpost.com/20111122econToplines.pdf
CNN,2011-11-18,2011-11-20,2011-11-21 2000-01-01 16:28:40 UTC,402,Adults - Republican,Live Phone,20,24,4,9,,3,11,5,22,http://elections.huffingtonpost.com/pollster/polls/cnn-12157,http://i2.cdn.turner.com/cnn/2011/images/11/21/rel19b.pdf
Quinnipiac,2011-11-14,2011-11-20,2011-11-22 2000-01-01 08:52:35 UTC,1039,Registered Voters - Republican,Live Phone,22,26,2,6,14,2,6,19,4,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12158,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1676
Zogby (Internet),2011-11-15,2011-11-17,2011-11-18 2000-01-01 11:16:55 UTC,1366,Likely Voters - Republican,Internet,14,32,3,8,26,3,6,7,3,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-12145,http://www.ibopezogby.com/news/2011/11/17/ibope-zogby-poll-gingrich-takes-lead-gop-field-romney-drops-third/
USA Today/Gallup,2011-11-13,2011-11-17,2011-11-21 2000-01-01 10:41:51 UTC,946,Registered Voters - Republican,Live Phone,21,22,1,9,16,1,8,18,5,http://elections.huffingtonpost.com/pollster/polls/usa-today-gallup-12148,http://www.gallup.com/poll/150845/Romney-Gingrich-Top-Choices-GOP-Nomination.aspx
FOX,2011-11-13,2011-11-15,2011-11-17 2000-01-01 11:17:37 UTC,370,Likely Voters - Republican,Live Phone,22,23,2,8,,3,7,12,23,http://elections.huffingtonpost.com/pollster/polls/fox-12136,http://www.foxnews.com/interactive/politics/2011/11/16/fox-news-poll-gingrich-and-romney-top-gop-nominee-picks/.foxnews.c
YouGov/Economist,2011-11-12,2011-11-15,2011-11-16 2000-01-01 17:16:47 UTC,,Likely Voters - Republican,Internet,19,23,2,7,21,5,6,6,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12134,http://big.assets.huffingtonpost.com/20111115econToplines.pdf
Pew,2011-11-09,2011-11-14,2011-11-17 2000-01-01 15:04:25 UTC,738,Adults - Republican,Live Phone,23,16,2,8,22,1,8,14,5,http://elections.huffingtonpost.com/pollster/polls/pew-12140,http://www.people-press.org/files/legacy-pdf/11-17-11%20Politics%20Release.pdf
CNN,2011-11-11,2011-11-13,2011-11-14 2000-01-01 12:20:26 UTC,480,Adults - Republican,Live Phone,24,22,3,8,,3,12,8,21,http://elections.huffingtonpost.com/pollster/polls/cnn-12115,http://i2.cdn.turner.com/cnn/2011/images/11/14/rel18b.pdf
PPP (D),2011-11-10,2011-11-13,2011-11-14 2000-01-01 12:43:45 UTC,576,Likely Voters - Republican,Automated Phone,18,28,1,5,25,3,6,9,6,http://elections.huffingtonpost.com/pollster/polls/ppp-d-12116,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1114925.pdf
Marist/McClatchy,2011-11-08,2011-11-10,2011-11-11 2000-01-01 12:06:08 UTC,,Registered Voters - Republican,Live Phone,23,19,1,10,17,1,8,17,5,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-12102,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US111108/2012/Complete%20November%2011,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf"
CBS,2011-11-06,2011-11-10,2011-11-11 2000-01-01 11:37:23 UTC,382,Likely Voters - Republican,Live Phone,15,15,2,5,18,1,8,17,19,http://elections.huffingtonpost.com/pollster/polls/cbs-12100,http://www.cbsnews.com/8301-250_162-57323535/cbs-news-polls-11-11-11/
Politico/GWU/Battleground,2011-11-06,2011-11-09,2011-11-14 2000-01-01 11:16:54 UTC,,Likely Voters - Republican,Live Phone,25,14,2,5,27,,14,9,3,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-12111,http://www.politico.com/static/PPM187_bg45.html
YouGov/Economist,2011-11-05,2011-11-08,2011-11-11 2000-01-01 11:51:23 UTC,,Likely Voters - Republican,Internet,24,16,2,7,21,5,7,6,13,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12101,http://big.assets.huffingtonpost.com/20111108econToplines.pdf
USA Today/Gallup,2011-11-02,2011-11-06,2011-11-07 2000-01-01 16:02:21 UTC,1054,Adults - Republican,Live Phone,21,12,2,8,21,1,11,21,3,http://elections.huffingtonpost.com/pollster/polls/usa-today-gallup-12084,http://www.gallup.com/poll/150617/Cain-Ties-Romney-Atop-GOP-Field.aspx
NBC/WSJ,2011-11-02,2011-11-05,2011-11-08 2000-01-01 10:08:36 UTC,248,Likely Voters - Republican,Live Phone,28,13,2,10,27,,10,4,5,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12087,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/November_Poll.pdf
ABC/Post,2011-10-31,2011-11-03,2011-11-04 2000-01-01 11:11:28 UTC,438,Adults - Republican,Live Phone,24,12,1,8,23,1,13,11,7,http://elections.huffingtonpost.com/pollster/polls/abc-post-12073,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_110311.html
Rasmussen,2011-01-02,2011-11-02,2011-11-03 2000-01-01 13:44:34 UTC,1000,Likely Voters - Republican,Automated Phone,23,14,1,7,,2,8,13,32,http://elections.huffingtonpost.com/pollster/polls/rasmussen-12070,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
YouGov/Economist,2011-10-29,2011-11-01,2011-11-03 2000-01-01 11:19:20 UTC,,Likely Voters - Republican,Internet,17,15,1,10,26,4,6,11,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12064,http://big.assets.huffingtonpost.com/20111101econToplines.pdf
Quinnipiac,2011-10-25,2011-10-31,2011-11-02 2000-01-01 11:21:59 UTC,869,Registered Voters - Republican,Live Phone,23,10,1,7,30,2,8,16,4,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-12060,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1669
FOX,2011-10-23,2011-10-25,2011-10-27 2000-01-01 10:31:16 UTC,328,Likely Voters - Republican,Live Phone,20,12,3,9,,,10,16,28,http://elections.huffingtonpost.com/pollster/polls/fox-12034,http://www.foxnews.com/interactive/politics/2011/10/26/fox-news-poll-gop-primary-voters-get-on-cain-train/
YouGov/Economist,2011-10-22,2011-10-25,2011-10-28 2000-01-01 12:03:35 UTC,242,Adults - Republican,Internet,24,7,2,9,28,3,9,7,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12045,http://big.assets.huffingtonpost.com/20111025econToplines.pdf
CBS/Times,2011-10-19,2011-10-24,2011-10-25 2000-01-01 09:57:27 UTC,455,Likely Voters - Republican,Live Phone,21,10,1,8,25,1,6,14,2,http://elections.huffingtonpost.com/pollster/polls/cbs-times-12023,http://www.nytimes.com/interactive/2011/10/26/us/politics/20111026_POLL.html
Zogby (Internet),2011-10-18,2011-10-21,2011-10-27 2000-01-01 11:50:54 UTC,1077,Likely Voters,Internet,19,12,2,9,39,4,8,7,2,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-12039,http://www.zogby.com/news/2011/10/25/ibope-zogby-poll-cain-trounces-romney-head-head-matchup/
YouGov/Economist,2011-10-15,2011-10-18,2011-10-20 2000-01-01 11:17:47 UTC,242,Adults - Republican,Internet,21,11,3,10,31,3,8,6,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12005,http://big.assets.huffingtonpost.com/20111018econToplines.pdf
AP-GfK,2011-10-13,2011-10-17,2011-10-19 2000-01-01 15:04:26 UTC,431,Adults - Republican,Live Phone,30,7,2,8,26,2,13,7,6,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-12002,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20October%202011%20Topline%20FINAL_2012.pdf
CNN,2011-10-14,2011-10-16,2011-10-17 2000-01-01 12:55:57 UTC,416,Adults - Republican,Live Phone,26,8,2,9,,1,13,9,32,http://elections.huffingtonpost.com/pollster/polls/cnn-11986,http://i2.cdn.turner.com/cnn/2011/images/10/17/oct17.poll.pdf
Zogby (Internet),2011-10-11,2011-10-14,2011-10-17 2000-01-01 11:56:34 UTC,1214,Likely Voters - Republican,Internet,21,6,3,8,45,3,7,5,2,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11983,http://www.zogby.com/news/2011/10/17/ibope-zogby-poll-cain-continues-pull-away-perry-bachmann-fading/
Rasmussen,2011-10-12,2011-10-12,2011-10-17 2000-01-01 17:01:00 UTC,1000,Likely Voters,Automated Phone,29,10,2,5,,2,9,7,36,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11988,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/election_2012_republican_presidential_primary
YouGov/Economist,2011-10-08,2011-10-11,2011-10-13 2000-01-01 11:22:03 UTC,,Likely Voters - Republican,Internet,18,9,0,7,33,4,10,9,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11968,http://big.assets.huffingtonpost.com/20111011econToplines.pdf
PPP (D),2011-10-07,2011-10-10,2011-10-12 2000-01-01 13:46:11 UTC,484,Likely Voters - Republican,Automated Phone,22,15,1,5,30,2,14,6,5,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11963,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_10121122.pdf
NBC/WSJ,2011-10-06,2011-10-10,2011-10-13 2000-01-01 11:03:00 UTC,336,Likely Voters - Republican,Live Phone,23,8,1,11,27,3,16,5,6,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11967,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/October_Poll.pdf
Ipsos/Reuters,2011-10-06,2011-10-10,2011-10-12 2000-01-01 15:37:11 UTC,410,Adults - Republican,Live Phone,23,7,,13,19,2,10,13,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-11964,http://www.reuters.com/article/2011/10/12/us-usa-campaign-poll-idUSTRE79B6A520111012
Washington Post/Bloomberg,2011-10-06,2011-10-09,2011-10-10 2000-01-01 15:31:26 UTC,391,Adults - Republican,Live Phone,24,3,1,6,16,0,13,29,7,http://elections.huffingtonpost.com/pollster/polls/washington-post-bloomberg-11947,http://www.washingtonpost.com/wp-srv/politics/polls/postbloombergpoll_100911.html
Gallup,2011-10-03,2011-10-07,2011-10-10 2000-01-01 16:47:06 UTC,1064,Registered Voters - Republican,Live Phone,20,7,3,8,18,2,15,20,6,http://elections.huffingtonpost.com/pollster/polls/gallup-11948,http://www.gallup.com/poll/149990/Cain-Surges-Nearly-Ties-Romney-Lead-GOP-Preferences.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=All%20Gallup%20Headlines
Zogby (Internet),2011-10-03,2011-10-05,2011-10-06 2000-01-01 17:53:50 UTC,796,Likely Voters - Republican,Internet,18,4,1,12,38,4,12,7,4,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11936,http://www.zogby.com/news/2011/10/06/ibope-zogby-poll-cain-expands-lead-over-gop-field-leads-obama-46-44/
YouGov/Economist,2011-10-01,2011-10-04,2011-10-06 2000-01-01 16:09:33 UTC,,Likely Voters - Republican,Internet,17,7,1,8,21,3,10,8,25,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11935,http://big.assets.huffingtonpost.com/20111004econToplines.pdf
Pew,2011-09-22,2011-10-04,2011-10-06 2000-01-01 15:44:56 UTC,549,Adults - Republican,Live Phone,22,8,2,12,13,1,17,,24,http://elections.huffingtonpost.com/pollster/polls/pew-11934,http://people-press.org/files/legacy-pdf/10-6-11%20October%20Political%20Release.pdf
Quinnipiac,2011-09-27,2011-10-03,2011-10-04 2000-01-01 14:48:04 UTC,927,Registered Voters - Republican,Live Phone,22,8,3,6,17,1,14,18,12,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11923,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1656
ABC/Post,2011-09-29,2011-10-02,2011-10-04 2000-01-01 11:37:04 UTC,,Registered Voters - Republican,Live Phone,21,6,1,9,14,1,14,6,27,http://elections.huffingtonpost.com/pollster/polls/abc-post-11922,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_100211.html
CBS,2011-09-28,2011-10-02,2011-10-05 2000-01-01 10:04:40 UTC,324,Likely Voters - Republican,Live Phone,17,8,3,7,17,2,12,18,16,http://elections.huffingtonpost.com/pollster/polls/cbs-11926,http://www.cbsnews.com/stories/2011/10/04/politics/main20115710.shtml
FOX,2011-09-25,2011-09-27,2011-09-29 2000-01-01 12:30:59 UTC,363,Likely Voters - Republican,Live Phone,23,11,3,6,,4,19,12,22,http://elections.huffingtonpost.com/pollster/polls/fox-11900,http://www.foxnews.com/interactive/politics/2011/09/28/fox-news-poll-gop-race-top-tier/
YouGov/Economist,2011-09-24,2011-09-27,2011-09-28 2000-01-01 17:34:22 UTC,,Registered Voters - Republican,Internet,15,6,2,6,11,2,14,6,38,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11898,http://big.assets.huffingtonpost.com/20110927econToplines.pdf
Gallup,2011-09-16,2011-09-18,2011-09-19 2000-01-01 15:32:45 UTC,,Registered Voters - Republican,Live Phone,24,5,2,13,5,1,31,,5,http://elections.huffingtonpost.com/pollster/polls/gallup-11869,http://www.usatoday.com/news/politics/story/2011-09-19/republican-poll-gop-perry-romney/50467944/1
CBS/Times,2011-09-10,2011-09-15,2011-09-16 2000-01-01 10:26:44 UTC,747,Likely Voters - Republican,Live Phone,16,7,1,5,5,1,23,22,20,http://elections.huffingtonpost.com/pollster/polls/cbs-times-11852,http://www.cbsnews.com/stories/2011/09/16/politics/main20107599.shtml
Marist/McClatchy,2011-09-13,2011-09-14,2011-09-23 2000-01-01 11:41:48 UTC,,Registered Voters - Republican,Live Phone,13,6,2,6,4,2,20,14,33,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-11884,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US110913/2012/Complete%20September%2021,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf"
YouGov/Economist,2011-09-10,2011-09-13,2011-09-15 2000-01-01 12:22:45 UTC,,Registered Voters - Republican,Internet,17,5,2,8,7,2,24,7,28,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11846,http://big.assets.huffingtonpost.com/20110913econToplines.pdf
Bloomberg,2011-09-09,2011-09-12,2011-09-15 2000-01-01 11:54:18 UTC,545,Adults - Republican,Live Phone,22,4,2,8,4,1,26,10,23,http://elections.huffingtonpost.com/pollster/polls/bloomberg-11845,http://www.bloomberg.com/news/2011-09-15/rick-perry-supported-by-republicans-in-poll-showing-plurality-reject-views.html
Zogby (Internet),2011-09-09,2011-09-12,2011-09-15 2000-01-01 14:41:55 UTC,1023,Likely Voters - Republican,Internet,14,2,3,11,12,3,37,8,9,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11849,http://www.zogby.com/news/2011/09/13/ibope-zogby-poll-perry-holds-big-lead-among-gop-voters-only-romney-leads-obama/
CNN,2011-09-09,2011-09-11,2011-09-12 2000-01-01 10:31:53 UTC,446,Adults - Republican,Live Phone,18,5,2,12,,2,30,6,26,http://elections.huffingtonpost.com/pollster/polls/cnn-11823,http://i2.cdn.turner.com/cnn/2011/images/09/11/rel15a.pdf
YouGov/Economist,2011-09-03,2011-09-06,2011-09-09 2000-01-01 08:46:38 UTC,1000,Adults,Internet,13,3,1,8,5,5,29,8,28,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11815,http://big.assets.huffingtonpost.com/20110906econToplines.pdf
ABC/Post,2011-08-29,2011-09-01,2011-09-06 2000-01-01 09:22:48 UTC,1001,Adults,Live Phone,23,4,2,8,3,1,29,8,22,http://elections.huffingtonpost.com/pollster/polls/abc-post-11797,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_090111.html
Politico/GWU/Battleground,2011-08-28,2011-09-01,2011-09-06 2000-01-01 11:16:17 UTC,,Likely Voters - Republican,Live Phone,17,5,5,10,4,1,36,11,11,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-11799,http://www.politico.com/static/PPM170_090611_battlegroundpoll_results.html
FOX,2011-08-29,2011-08-31,2011-09-02 2000-01-01 11:08:56 UTC,341,Likely Voters - Republican,Live Phone,18,3,3,7,,1,26,13,30,http://elections.huffingtonpost.com/pollster/polls/fox-11794,http://www.foxnews.com/interactive/politics/2011/09/01/perry-overtakes-romney-as-top-gop-2012-pick-most-say-palin-should-stay-out-race/
NBC/WSJ,2011-08-27,2011-08-31,2011-09-06 2000-01-01 09:38:17 UTC,238,Likely Voters - Republican,Live Phone,23,5,3,9,5,2,38,5,10,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11798,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/Correct_NBCWSJ_poll.pdf
YouGov/Economist,2011-08-27,2011-08-30,2011-09-01 2000-01-01 10:40:04 UTC,242,Adults - Republican,Internet,14,6,1,13,7,2,28,6,24,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11787,http://big.assets.huffingtonpost.com/20110830econToplines.pdf
Zogby (Internet),2011-08-25,2011-08-29,2011-08-30 2000-01-01 17:10:07 UTC,1184,Likely Voters - Republican,Internet,12,3,3,11,8,3,41,8,11,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11781,http://www.zogby.com/news/2011/08/30/ibope-zogby-poll-perry-races-far-ahead-republican-field-4-announced-gop-candidates-tie-or-lead-obama/
Quinnipiac,2011-08-16,2011-08-27,2011-08-31 2000-01-01 10:46:54 UTC,1185,Likely Voters - Republican,Live Phone,18,3,1,9,5,1,24,16,22,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11783,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1639
CNN,2011-08-24,2011-08-25,2011-08-29 2000-01-01 14:54:30 UTC,467,Adults - Republican,Live Phone,14,6,1,6,,1,27,8,35,http://elections.huffingtonpost.com/pollster/polls/cnn-11775,http://i2.cdn.turner.com/cnn/2011/images/08/29/130.poll.pdf
YouGov/Economist,2011-08-20,2011-08-23,2011-08-24 2000-01-01 15:51:46 UTC,,Registered Voters - Republican,Internet,15,4,2,11,8,2,23,11,25,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11755,http://big.assets.huffingtonpost.com/20110823econToplines.pdf
PPP (D),2011-08-18,2011-08-21,2011-08-24 2000-01-01 14:39:33 UTC,663,Likely Voters - Republican,Automated Phone,17,7,3,6,7,2,27,7,23,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11754,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0824513.pdf
Gallup,2011-08-17,2011-08-21,2011-08-24 2000-01-01 14:36:27 UTC,1040,Adults - Republican,Live Phone,17,4,3,13,4,1,29,17,12,http://elections.huffingtonpost.com/pollster/polls/gallup-11753,http://www.gallup.com/poll/149180/Perry-Zooms-Front-Pack-2012-GOP-Nomination.aspx
Rasmussen,2011-08-15,2011-08-15,2011-08-16 2000-01-01 15:20:36 UTC,1000,Likely Voters - Republican,Automated Phone,18,5,1,9,,1,29,,19,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11718,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/gop_primary_perry_29_romney_18_bachmann_13
FOX,2011-08-07,2011-08-09,2011-08-11 2000-01-01 10:01:05 UTC,319,Likely Voters - Republican,Live Phone,21,6,2,6,,2,13,14,35,http://elections.huffingtonpost.com/pollster/polls/fox-11696,http://www.foxnews.com/interactive/politics/2011/08/10/fox-news-poll-81011-2012-election/
CNN,2011-08-05,2011-08-07,2011-08-11 2000-01-01 09:26:12 UTC,,Adults - Republican,Live Phone,17,5,2,12,,4,15,6,39,http://elections.huffingtonpost.com/pollster/polls/cnn-11692,http://i2.cdn.turner.com/cnn/2011/images/08/08/poll2.aug8.pdf
USA Today/ Gallup,2011-08-04,2011-08-07,2011-08-09 2000-01-01 11:10:28 UTC,,Adults - Republican,Live Phone,24,7,1,14,4,2,17,,16,http://elections.huffingtonpost.com/pollster/polls/usa-today-gallup-11681,http://www.usatoday.com/news/politics/2011-08-08-poll-gallup-election_n.htm
Marist/McClatchy,2011-08-02,2011-08-04,2011-08-10 2000-01-01 11:09:36 UTC,301,Registered Voters - Republican,Live Phone,21,2,3,3,6,2,18,14,32,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-11687,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US110802/2012/Complete%20August%2010,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf"
Rasmussen,2011-07-28,2011-07-28,2011-08-02 2000-01-01 11:43:25 UTC,1000,Likely Voters - Republican,Automated Phone,22,6,,10,,2,18,,25,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11657,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/romney_perry_bachmann_run_close_among_gop_primary_voters
Zogby (Internet),2011-07-22,2011-07-25,2011-07-26 2000-01-01 16:58:31 UTC,1103,Likely Voters - Republican,Internet,17,1,5,11,18,3,,9,37,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11636,http://www.zogby.com/news/2011/07/26/ibope-zogby-gop-presidential-poll-bachmann-continues-lead-announced-field-perrys-entry-would-put-him/
Gallup,2011-07-20,2011-07-24,2011-07-27 2000-01-01 10:33:32 UTC,1088,Adults - Republican,Live Phone,17,3,2,8,3,2,15,14,37,http://elections.huffingtonpost.com/pollster/polls/gallup-11638,http://www.gallup.com/poll/148664/Romney-Leads-Field-Announced-GOP-Candidates.aspx
Pew,2011-07-20,2011-07-24,2011-07-29 2000-01-01 10:30:40 UTC,546,Registered Voters - Republican,Live Phone,21,3,1,9,8,2,12,34,12,http://elections.huffingtonpost.com/pollster/polls/pew-11646,http://people-press.org/2011/07/28/obama-loses-ground-in-2012-reelection-bid/1/
CNN,2011-07-18,2011-07-20,2011-07-22 2000-01-01 12:23:28 UTC,455,Adults,Live Phone,16,4,2,8,,1,14,9,48,http://elections.huffingtonpost.com/pollster/polls/cnn-11621,http://i2.cdn.turner.com/cnn/2011/images/07/21/rel11c.pdf
FOX,2011-07-17,2011-07-19,2011-07-22 2000-01-01 11:23:33 UTC,323,Likely Voters - Republican,Live Phone,17,4,2,9,,1,14,15,39,http://elections.huffingtonpost.com/pollster/polls/fox-11620,http://crocodoc.com/BLJwBPd
PPP (D),2011-07-15,2011-07-17,2011-07-19 2000-01-01 10:43:21 UTC,730,Likely Voters - Republican,Automated Phone,20,6,,9,10,2,11,10,33,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11601,http://www.publicpolicypolling.com/pdf/PPP_Release_National_0719.pdf
NBC/WSJ,2011-07-14,2011-07-17,2011-07-19 2000-01-01 17:22:59 UTC,238,Likely Voters - Republican,Live Phone,30,8,3,9,5,2,11,10,22,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11606,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/July_Poll.pdf
ABC/Post,2011-07-14,2011-07-17,2011-07-21 2000-01-01 12:11:22 UTC,,Registered Voters - Republican,Live Phone,26,4,2,7,7,3,8,8,33,http://elections.huffingtonpost.com/pollster/polls/abc-post-11614,http://www.langerresearch.com/uploads/1125a32012Election.pdf
Zogby (Internet),2011-07-08,2011-07-11,2011-07-12 2000-01-01 16:55:10 UTC,1015,Likely Voters - Republican,Internet,15,4,3,13,16,4,,10,33,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11568,http://www.zogby.com/news/2011/07/12/ibope-zogby-poll-christie-ahead-obama-hypothetical-6-others-dead-heat-president/
Quinnipiac,2011-07-05,2011-07-11,2011-07-13 2000-01-01 12:33:11 UTC,913,Registered Voters - Republican,Live Phone,25,5,1,5,6,1,10,18,29,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11572,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1623
Marist/McClatchy,2011-06-15,2011-06-23,2011-06-29 2000-01-01 12:22:08 UTC,308,Registered Voters - Republican,Live Phone,19,2,1,5,,2,13,,37,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-11522,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US110615/2012/Complete%20June%2029,%202011%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf"
Zogby (Internet),2011-06-17,2011-06-21,2011-06-30 2000-01-01 16:34:30 UTC,998,Likely Voters - Republican,Internet,15,2,5,13,15,2,,13,32,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11533,http://www.zogby.com/news/2011/06/30/ibope-zogby-presidential-poll-bachmann-leads-among-gop-voters-romney-best-against-obama/
Rasmussen,2011-06-14,2011-06-14,2011-06-16 2000-01-01 17:29:52 UTC,1000,Likely Voters,Automated Phone,33,9,6,7,,2,,,43,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11478,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/romney_bachmann_cain_lead_the_pack_among_gop_primary_voters
YouGov/Economist,2011-06-11,2011-06-14,2011-06-17 2000-01-01 12:18:58 UTC,242,Adults - Republican,Internet,14,5,3,5,7,2,8,15,37,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11480,http://big.assets.huffingtonpost.com/20110614econToplines.pdf
NBC/WSJ,2011-06-09,2011-06-13,2011-06-16 2000-01-01 08:58:28 UTC,238,Likely Voters - Republican,Live Phone,30,6,4,7,12,1,8,8,24,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11473,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/11236%20JUNE%20NBC-WSJ%20Final%20Filled-in.pdf
PPP (D),2011-06-09,2011-06-12,2011-06-16 2000-01-01 17:23:31 UTC,544,Likely Voters - Republican,Automated Phone,22,9,,7,17,1,,12,32,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11477,http://www.publicpolicypolling.com/pdf/PPP_Release_National_616.pdf
Gallup,2011-06-08,2011-06-11,2011-06-13 2000-01-01 17:18:49 UTC,972,Adults - Republican,Live Phone,17,9,2,10,8,2,1,22,31,http://elections.huffingtonpost.com/pollster/polls/gallup-11460,http://www.gallup.com/poll/148016/Romney-Support-Widens-Advantage-2012-Preferences.aspx
FOX,2011-06-05,2011-06-07,2011-06-09 2000-01-01 10:22:54 UTC,338,Likely Voters - Republican,Live Phone,23,7,4,5,,2,,12,48,http://elections.huffingtonpost.com/pollster/polls/fox-11443,http://www.foxnews.com/interactive/us/2011/06/08/obama-approval-drops-romney-tops-gop-preference/
